"Description","Media Serial","Region","File","Size","MD5","CRC32"
"Asameshimae Nyanko (Japan)","","","Asameshimae Nyanko (Japan).sfc","1048576","A7CF8B4A9DA276955118AEF0DF61987C","24FE792F"
"Ashita no Joe (Japan)","","","Ashita no Joe (Japan).sfc","1048576","C7F80EB13AD9EE5FB5598B24002B6113","6B54BE97"
"Asterix (Europe) (En,Fr,De,Es)","SNSP-XE-UKV","Europe","Asterix (Europe) (En,Fr,De,Es).sfc","524288","B4FC60315646BFB9280D7EDC4E59B5CC","5DDEDC28"
"Asterix & Obelix (Europe) (En,Fr,De,Es)","SNSP-AXOP-NOE","Europe","Asterix & Obelix (Europe) (En,Fr,De,Es).sfc","1572864","77BF37A9A6779A1D7E109BC1A707ECD1","83AF6152"
"Atlas, The - Renaissance Voyager (Japan)","","","Atlas, The - Renaissance Voyager (Japan).sfc","2097152","2E90E35BCFA4945A9A914191DEBE2B61","19E09C6B"
"Axelay (Europe)","SNSP-AX-NOE","Europe","Axelay (Europe).sfc","1048576","F18E245FC9447464787227FB42167781","F43F6743"
"Axelay (Japan)","SHVC-AX","Japan","Axelay (Japan).sfc","1048576","2C708D496D04812509F9FB3DB7C21872","B0A02734"
"Axelay (USA)","","USA","Axelay (USA).sfc","1048576","699BBDFFAB13C41FA8D4A9B3C25D60E7","F812B533"
"Axelay (USA)","SNS-AX-USA","USA","Axelay (USA).sfc","1048576","699BBDFFAB13C41FA8D4A9B3C25D60E7","F812B533"
"Axelay (USA) (Sample)","","","Axelay (USA) (Sample).sfc","1048576","6E750E560F247C4FA8F8C8B21BBE4446","A0677D80"
"B.O.B. (Europe)","SNSP-B4-NOE","Europe","B.O.B. (Europe).sfc","1048576","164AFC89980D3F5BB7A7760BFDF8BC32","8D56598B"
"B.O.B. (USA)","","USA","B.O.B. (USA).sfc","1048576","4691D08167F92779948F067D4B4A612F","4F593C46"
"B.O.B. (USA)","SNS-B4-USA","USA","B.O.B. (USA).sfc","1048576","4691D08167F92779948F067D4B4A612F","4F593C46"
"Bahamut Lagoon (Japan)","","Japan","Bahamut Lagoon (Japan).sfc","3145728","5254A985EDC33928BB8535151A668080","1B83C440"
"Bakukyuu Renpatsu!! Super B-Daman (Japan)","","","Bakukyuu Renpatsu!! Super B-Daman (Japan).sfc","2097152","6F76A0BC204424863A9BA846F5183996","5613F172"
"Bakumatsu Kourinden Oni (Japan)","","Japan","Bakumatsu Kourinden Oni (Japan).sfc","4194304","D8923C1534106EE90CF6B1E2CCE00C9C","1CF3C877"
"Bakutou Dochers - Bumps-jima wa Oosawagi (Japan)","","Japan","Bakutou Dochers - Bumps-jima wa Oosawagi (Japan).sfc","1048576","0AF9942D16A95E484C5B689E80CCB6AE","94BFCC92"
"Ball Bullet Gun (Japan)","","","Ball Bullet Gun (Japan).sfc","1572864","B22871E35D219853D268F2297E6937E7","C1E2BB56"
"Ballz 3D - Fighting at Its Ballziest (USA)","SNS-ABZE-USA","USA","Ballz 3D - Fighting at Its Ballziest (USA).sfc","1048576","B61EFD28676EA1F9CA650888753DF2DC","1C058B7D"
"Barbarossa (Japan)","","","Barbarossa (Japan).sfc","1048576","D349F2853C8795C46FA2CD82268D0C18","5283E505"
"Barbie Super Model (USA)","SNS-8L-USA","USA","Barbie Super Model (USA).sfc","1048576","FDECC2C3CB3C351DAD5D54DA7999D3C0","3B73610E"
"Barbie Vacation Adventure (USA) (Proto)","","","Barbie Vacation Adventure (USA) (Proto).sfc","1048576","22C61C5030CB934EBEEA07C20C9EAA49","8CE1BA79"
"Barkley no Power Dunk (Japan) (En)","","","Barkley no Power Dunk (Japan) (En).sfc","1572864","3CBBB9E3ABD7D472C640E48FF5E1A2A2","8AFF96D0"
"Barkley Shut Up and Jam! (Europe)","SNSP-U5-EUR","Europe","Barkley Shut Up and Jam! (Europe).sfc","1572864","7537F4B1BB522C1B65B2A623BBE3982A","29FBD13D"
"Barkley Shut Up and Jam! (USA)","SNS-U5-USA","USA","Barkley Shut Up and Jam! (USA).sfc","1572864","C153B93D685C7F9AFABCDE953B97B211","726B6C5A"
"Barkley Shut Up and Jam! (USA)","SNS-U5","USA","Barkley Shut Up and Jam! (USA).sfc","1572864","C153B93D685C7F9AFABCDE953B97B211","726B6C5A"
"Bass Masters Classic (Japan)","","","Bass Masters Classic (Japan).sfc","1572864","1141024D45857A4570BD860F4D67B878","925206EA"
"Bass Masters Classic (USA)","SNS-ABAE-USA","USA","Bass Masters Classic (USA).sfc","1572864","74BBB1AA480A01F53E7B8764D0750E23","832A27C2"
"Bass Masters Classic - Pro Edition (Europe)","","","Bass Masters Classic - Pro Edition (Europe).sfc","2097152","D7FF8EF321AB2B1D043D0577B9C2EEC2","A2D4B003"
"Bass Masters Classic - Pro Edition (USA)","SNS-A9BE-USA","USA","Bass Masters Classic - Pro Edition (USA).sfc","2097152","7200B3E05B334201B33E174F487FF021","C5058634"
"Bassin's Black Bass (USA)","SNS-AB2E-USA","USA","Bassin's Black Bass (USA).sfc","2097152","043CF610D2CF595329499A0FBB5CB459","7DC5B7B3"
"Bastard!! - Ankoku no Hakaishin (Japan)","","","Bastard!! - Ankoku no Hakaishin (Japan).sfc","1572864","2D11339B1A2DD1FE166AB1AAAC8AAD7D","6742D51C"
"Batman (USA) (Proto) [b]","","","Batman (USA) (Proto) [b].sfc","524288","70E013CDB4E0C2F39A7F1DF83A697DDF","9BAE4220"
"Batman - Revenge of the Joker (USA) (Proto)","","","Batman - Revenge of the Joker (USA) (Proto).sfc","1048576","AC85C4F7A23EB02B87A9900E6538B84C","205654DD"
"Batman Forever (Europe)","SNSP-A3BP-EUR","Europe","Batman Forever (Europe).sfc","3145728","8E1FDFCF4B3764499006E3677FD67B86","6288D8ED"
"Batman Forever (Japan) (En)","","","Batman Forever (Japan) (En).sfc","3145728","1F6E673B34E85484C98BAAD37284AFA8","903348F5"
"Batman Forever (USA)","SNS-A3BE-USA","USA","Batman Forever (USA).sfc","3145728","9F056180691136A3CA7D4A868ADE02B4","D9B5E9CF"
"Batman Forever (USA)","SNS-A3BE","USA","Batman Forever (USA).sfc","3145728","9F056180691136A3CA7D4A868ADE02B4","D9B5E9CF"
"Batman Returns (Europe)","SNSP-BJ-UKV","Europe","Batman Returns (Europe).sfc","1048576","9F1F54EE804644B2F9C979E5F7EE69E0","42F98E71"
"Batman Returns (Japan) (En)","","Japan","Batman Returns (Japan) (En).sfc","1048576","672B5C06058EE8D1C28AE36B44EB1D12","5BED3661"
"Batman Returns (Japan) (En)","SHVC-BJ","Japan","Batman Returns (Japan) (En).sfc","1048576","672B5C06058EE8D1C28AE36B44EB1D12","5BED3661"
"Batman Returns (Japan) (Sample)","","","Batman Returns (Japan) (Sample).sfc","1048576","914E7C3C7B9637F25B7ECEC14EA226A9","9CE7D5BA"
"Batman Returns (USA)","SNS-BJ-USA","USA","Batman Returns (USA).sfc","1048576","5EF8E1F3E88C86F149838C569A0C0328","E87DFDF6"
"Battle Blaze (Japan) (En)","","","Battle Blaze (Japan) (En).sfc","1048576","48F9FADE9361D8188AB27CAE6D14309F","B9CD2FF3"
"Battle Blaze (USA)","SNS-BZ-USA","USA","Battle Blaze (USA).sfc","1048576","AFCBFAE9EADC31880B3216AC1519C7AF","D933BD8D"
"Battle Blaze (USA) (Beta)","","","Battle Blaze (USA) (Beta).sfc","1048576","1C170567B185D22C42638F15E503D7B6","9F2BA6A9"
"Battle Cars (USA)","","USA","Battle Cars (USA).sfc","1048576","0B14BD63104AB1E7C59E18B1E18B2002","46043454"
"Battle Cars (USA)","SNS-4B-USA","USA","Battle Cars (USA).sfc","1048576","0B14BD63104AB1E7C59E18B1E18B2002","46043454"
"Battle Clash (Europe)","SNSP-BT-UKV","Europe","Battle Clash (Europe).sfc","1048576","391C2D0E4E81CA2139BC86080A2C4D2D","11E5BC5E"
"Battle Clash (USA)","SNS-BT-USA","USA","Battle Clash (USA).sfc","1048576","D9B2A11D20A10FE4F82BE4A92481D3D3","59C00310"
"Battle Clash (USA)","SNS-BT-USA","","Battle Clash (USA).sfc","1048576","D9B2A11D20A10FE4F82BE4A92481D3D3","59C00310"
"Battle Commander - Hachibushuu, Shura no Heihou (Japan)","SHVC-BC","Japan","Battle Commander - Hachibushuu, Shura no Heihou (Japan).sfc","1048576","BD83CCAEC407DB81BCB26D22B025FDA3","AD80E50E"
"Battle Cross (Japan)","","","Battle Cross (Japan).sfc","1048576","F0C2849E45EFDF55AD078D78DE427C42","5F5E9B0B"
"Battle Dodge Ball - Toukyuu Daigekitotsu! (Japan)","","","Battle Dodge Ball - Toukyuu Daigekitotsu! (Japan).sfc","1048576","405D96A6A530484F70049400B78F5E6E","99A1F158"
"Battle Dodge Ball II (Japan)","","","Battle Dodge Ball II (Japan).sfc","1572864","4A25E91B235CDC02059BDDD01062FEBA","43D3F2B2"
"Battle Grand Prix (Japan) (En)","","Japan","Battle Grand Prix (Japan) (En).sfc","1048576","45CE349BD342D6131CD6CCD36BA996B9","8B8AFD6F"
"Battle Grand Prix (USA)","SNS-BG-USA","USA","Battle Grand Prix (USA).sfc","1048576","28EAB2C90F15F362F3840BC62E21ABCF","190FF436"
"Battle Jockey (Japan)","","","Battle Jockey (Japan).sfc","1048576","CBEED25156DB82FE6E87C3D57FFAA37D","D79C1EC5"
"Battle Master - Kyuukyoku no Senshi-tachi (Japan)","","","Battle Master - Kyuukyoku no Senshi-tachi (Japan).sfc","2097152","1D410A114F6EEE33C5A55C8FBF11C5EE","DBF76BFD"
"Battle Pinball (Japan)","","Japan","Battle Pinball (Japan).sfc","1310720","AAF6E70555D20C72F0C6092809153D2A","54901522"
"Battle Racers (Japan)","SHVC-ACRJ-JPN","Japan","Battle Racers (Japan).sfc","1048576","3E49EF28A461A06435AE04C2E5341F78","64B76CEB"
"Battle Robot Retsuden (Japan)","","","Battle Robot Retsuden (Japan).sfc","3145728","59FCF472170AAD6BEBFDD13E5CAA5961","B72BF1F2"
"Battle Soccer - Field no Hasha (Japan)","SHVC-B8","","Battle Soccer - Field no Hasha (Japan).sfc","1048576","3736F16B72DECF82E9D9629753A76650","C54AE0F9"
"Battle Soccer 2 (Japan)","","","Battle Soccer 2 (Japan).sfc","1310720","7D48763A155C18098A0526D2573FE5D9","5316DD26"
"Battle Submarine (Japan)","","","Battle Submarine (Japan).sfc","1048576","1BFBF7AAD4611933512FF6E93BA3BA1E","DA2AD2FE"
"Battle Tycoon - Flash Hiders SFX (Japan)","SHVC-AFHJ-JPN","Japan","Battle Tycoon - Flash Hiders SFX (Japan).sfc","3145728","B0BF7BA07671955EB1E56318151ECA0C","E38C4A5B"
"Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1)","","","Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1).sfc","3145728","3B9A0F6C862CD723760F75D845508A4A","92AFAB02"
"Battle Zeque Den (Japan)","","Japan","Battle Zeque Den (Japan).sfc","1572864","D3CDDDC43E37BAB6C458DA3E4A6A8D92","8CAC063C"
"BattleTech (Japan)","","","BattleTech (Japan).sfc","1048576","0EC4573AB28D28DBC75C21F3197FB9F2","FA29E335"
"BattleTech 3050 (Japan)","","","BattleTech 3050 (Japan).sfc","1572864","11AD0C7B260175C2C59A36669D251370","56C7EB66"
"Battletoads in Battlemaniacs (Europe)","SNSP-NX-UKV","Europe","Battletoads in Battlemaniacs (Europe).sfc","1048576","866B25CC8A348525A6CE344DC37916BF","BBF1CF8D"
"Battletoads in Battlemaniacs (Japan)","","","Battletoads in Battlemaniacs (Japan).sfc","1048576","4AC6353734BD0D3B1B11AC56EDBDC9B0","48F15B03"
"Battletoads in Battlemaniacs (USA)","","USA","Battletoads in Battlemaniacs (USA).sfc","1048576","E44B9987E33EF7237B24457A6C997723","617AC925"
"Battletoads in Battlemaniacs (USA)","SNS-NX-USA","USA","Battletoads in Battlemaniacs (USA).sfc","1048576","E44B9987E33EF7237B24457A6C997723","617AC925"
"Battletoads in Battlemaniacs (USA) (Beta)","","","Battletoads in Battlemaniacs (USA) (Beta).sfc","1048576","6B042DA023E26CF195689FA182C19A0E","1783E3A2"
"Battletoads-Double Dragon (Europe)","","","Battletoads-Double Dragon (Europe).sfc","1048576","E4327313C7AD91CF435B96BCEA2D19D4","043F3773"
"Battletoads-Double Dragon (USA)","","USA","Battletoads-Double Dragon (USA).sfc","1048576","3C433A8AA73986E1361423303E92785B","8B18AC01"
"Battletoads-Double Dragon (USA)","SNS-UL-USA","USA","Battletoads-Double Dragon (USA).sfc","1048576","3C433A8AA73986E1361423303E92785B","8B18AC01"
"Bazoe! Mahou Sekai (Japan)","","Japan","Bazoe! Mahou Sekai (Japan).sfc","1572864","DECBC035448E68DC899A1DB456E77AFD","D5B09EEF"
"Bazooka Blitzkrieg (USA)","SNS-BY-USA","USA","Bazooka Blitzkrieg (USA).sfc","524288","D741108C2EC64BF52DA7A0F70D976654","6810AA95"
"Beauty and the Beast (Europe)","SNSP-EW-UKV","Europe","Beauty and the Beast (Europe).sfc","1048576","BB020351B395958C60AAAC53CA0233E7","2E70C844"
"Beauty and the Beast (Europe) (Beta)","","","Beauty and the Beast (Europe) (Beta).sfc","1048576","A60D94E4CEE19DD176D3B8E094A5CEF3","FFF9DEAB"
"Beauty and the Beast (USA)","SNS-EW-USA","USA","Beauty and the Beast (USA).sfc","1048576","509AB1888290B42DDE397C02E4371576","956E183C"
"Beavis and Butt-Head (Europe)","SNSP-ABUP-EUR","Europe","Beavis and Butt-Head (Europe).sfc","1572864","1B1775B0C5EF12D213253D5A8641D141","F77F160B"
"Beavis and Butt-Head (USA)","SNS-ABUE-USA","USA","Beavis and Butt-Head (USA).sfc","1572864","4F5421F540A109EA5D818C0AF87F2EA8","15CF4BD5"
"Bebe's Kids (USA)","SNS-6B-USA","USA","Bebe's Kids (USA).sfc","1048576","09DA2900A99D0134B77BFC8A3F09442A","BDA2E412"
"Beethoven - The Ultimate Canine Caper! (Europe)","","","Beethoven - The Ultimate Canine Caper! (Europe).sfc","524288","76FA6FDC5D0E0A52839D8548301644F1","4D1352AD"
"Beethoven - The Ultimate Canine Caper! (USA)","SNS-2V-USA","USA","Beethoven - The Ultimate Canine Caper! (USA).sfc","524288","4ADFA292778A82285D80554EA6ED3497","BEEBAFA2"
"Beethoven - The Ultimate Canine Caper! (USA)","SNS-2V","USA","Beethoven - The Ultimate Canine Caper! (USA).sfc","524288","4ADFA292778A82285D80554EA6ED3497","BEEBAFA2"
"Beethoven's 2nd (USA) (Beta)","N/A","USA","Beethoven's 2nd (USA) (Beta).sfc","524288","42FEE081DCE166E2B7280F9CE8048FD9","FB5747AC"
"Benkei Gaiden - Suna no Shou (Japan)","","Japan","Benkei Gaiden - Suna no Shou (Japan).sfc","1572864","5F579309272216100A6CFF92DE297479","2743017D"
"Best of the Best - Championship Karate (Europe)","SNSP-BE-UKV","Europe","Best of the Best - Championship Karate (Europe).sfc","1048576","06F38A041906426F5D6ECDFD31FE9454","D63831A5"
"Best of the Best - Championship Karate (Europe)","SNSP-BE-SCN","Europe","Best of the Best - Championship Karate (Europe).sfc","1048576","06F38A041906426F5D6ECDFD31FE9454","D63831A5"
"Best of the Best - Championship Karate (Europe) (Beta)","","","Best of the Best - Championship Karate (Europe) (Beta).sfc","1048576","38229AE7A69A0C703EF381F698B75F2A","20AA9B78"
"Best of the Best - Championship Karate (USA)","SNS-BE-USA","USA","Best of the Best - Championship Karate (USA).sfc","1048576","3E1AFA72971094777D9733289C9043B6","7F6ED86E"
"Best Shot Pro Golf (Japan)","","","Best Shot Pro Golf (Japan).sfc","4194304","657E3A80F21B7CA939A2522E6D7F5C4E","256D4BC4"
"Big Ichigeki! Pachi-Slot Daikouryaku (Japan)","","","Big Ichigeki! Pachi-Slot Daikouryaku (Japan).sfc","524288","06FE8E06962D2AF8999754E7DEB848D2","FB8ED6AA"
"Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan)","","","Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan).sfc","1572864","DAB2A915E12C723974A66A24C5743553","3AEE8812"
"Big Sky Trooper (Europe)","","","Big Sky Trooper (Europe).sfc","1048576","B771F65306B12EF1ACF830953B9424D6","1B565BE7"
"Big Sky Trooper (USA)","","USA","Big Sky Trooper (USA).sfc","1048576","DA63BB63008DFE25C3E387C25D217D36","25C69316"
"Big Sky Trooper (USA)","SNS-AB9E-USA","USA","Big Sky Trooper (USA).sfc","1048576","DA63BB63008DFE25C3E387C25D217D36","25C69316"
"Big Sky Trooper (USA) (Beta)","","","Big Sky Trooper (USA) (Beta).sfc","1048576","408162D58F7C6086B1FF979BBA51121A","7955EBFE"
"Bijo to Yajuu (Japan)","","Japan","Bijo to Yajuu (Japan).sfc","1048576","A5B7310F99982A66A13968ED22811D1D","B319C546"
"Bike Daisuki! Hashiriya Tamashii (Japan)","","","Bike Daisuki! Hashiriya Tamashii (Japan).sfc","524288","9BC21069D1C9EBA86DAD2BA0E994E5A1","B363FC99"
"Biker Mice from Mars (Europe)","SNSP-ABMP-EUR","Europe","Biker Mice from Mars (Europe).sfc","1048576","125822F25AF8FA7CE219E9E6E503F144","1A06DB31"
"Biker Mice from Mars (USA)","","USA","Biker Mice from Mars (USA).sfc","1048576","A1F47D45A9E5F93B3F10057D1D0E1469","4E8B2ECB"
"Biker Mice from Mars (USA)","SNS-ABME-USA","USA","Biker Mice from Mars (USA).sfc","1048576","A1F47D45A9E5F93B3F10057D1D0E1469","4E8B2ECB"
"Bill Laimbeer's Combat Basketball (USA)","SNS-C8-USA","USA","Bill Laimbeer's Combat Basketball (USA).sfc","524288","24879E6FB99D030FED75303234EBD958","468D8CDD"
"Bill Laimbeer's Combat Basketball (USA)","SNS-CB-USA","USA","Bill Laimbeer's Combat Basketball (USA).sfc","524288","24879E6FB99D030FED75303234EBD958","468D8CDD"
"Bill Walsh College Football (USA)","SNS-7F-USA","USA","Bill Walsh College Football (USA).sfc","1048576","8EE34EA0392D7F637FE96D82E034270D","25391C9F"
"Bing Bing! Bingo (Japan)","","Japan","Bing Bing! Bingo (Japan).sfc","1048576","3EB6E19C0DDD27BD6E7D52B360770D92","CCD77B37"
"BioMetal (Europe)","SNSP-BV-UKV","Europe","BioMetal (Europe).sfc","1048576","43D393D1E6AEAE259509DFEA907DFB50","E901A947"
"BioMetal (Japan) (En)","","","BioMetal (Japan) (En).sfc","1048576","FD4CC301D2B5853091A84F2C6354BB23","8BA3D382"
"BioMetal (USA)","","USA","BioMetal (USA).sfc","1048576","96B4E98C45B9B77B2641D7F81D77E890","53D8410E"
"BioMetal (USA)","SNS-BV-USA","USA","BioMetal (USA).sfc","1048576","96B4E98C45B9B77B2641D7F81D77E890","53D8410E"
"Bishin Densetsu Zoku (Japan)","","","Bishin Densetsu Zoku (Japan).sfc","2097152","590DD09EC3DA21EE9B7417FF4D70FB76","F02DCB37"
"Bishoujo Janshi Suchie-Pai (Japan)","","","Bishoujo Janshi Suchie-Pai (Japan).sfc","2097152","D54E6670C2B1DB0016F4577AFDA8F5B9","11713982"
"Bishoujo Janshi Suchie-Pai (Japan) (Rev 1)","","","Bishoujo Janshi Suchie-Pai (Japan) (Rev 1).sfc","2097152","EF9B2DD5575383C999C240E17B484561","80E66C55"
"Bishoujo Senshi Sailor Moon (Japan)","","Japan","Bishoujo Senshi Sailor Moon (Japan).sfc","1572864","6C6E750E419D6C3DB27A708D240D32B1","A56323C1"
"Bishoujo Senshi Sailor Moon - Another Story (Japan)","","Japan","Bishoujo Senshi Sailor Moon - Another Story (Japan).sfc","3145728","5F776488E366B6D6B44F6E8A01D9953D","02A442B8"
"Bishoujo Senshi Sailor Moon R (Japan)","","","Bishoujo Senshi Sailor Moon R (Japan).sfc","2097152","39B1E06FAE0D6176C6EC4BB98F842EB7","4AEE5ABB"
"Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan)","SHVC-AQSJ","Japan","Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan).sfc","2621440","BFAC50CDAE38C51DFF55D15EDEC85451","B0FD1854"
"Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan)","","","Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan).sfc","524288","60E054A73BCAB9C73A73C05C5E17DCD1","10F03E3C"
"Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan)","","","Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan).sfc","524288","6A30447069CAD68BB6E34BB586FF1D21","E4A271BF"
"Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan)","","","Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan).sfc","1048576","1F6B2FF721F8F0D92736D704F922BA37","B6B92AE0"
"Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan)","","","Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan).sfc","3145728","89C3D0A6ECEF80BD3E8E9AF650897626","25440331"
"Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan)","","","Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan).sfc","2621440","992F432206BAE204A240F70E541BCB9F","F4D20413"
"Blackhawk (Europe) (En,Fr,De)","","","Blackhawk (Europe) (En,Fr,De).sfc","1048576","0500E7DFF0ACB5B86E4909B7DDD41A76","2D1DD10A"
"Blackthorne (USA)","","USA","Blackthorne (USA).sfc","1048576","EE33097D436B4901A71F7E4C9A5CB409","856BEAB1"
"Blackthorne (USA)","SNS-6Z-USA","USA","Blackthorne (USA).sfc","1048576","EE33097D436B4901A71F7E4C9A5CB409","856BEAB1"
"Blackthorne (USA) (Beta) (CES Version)","","","Blackthorne (USA) (Beta) (CES Version).sfc","1048576","49715A9BCED9DBA4E6AAA1DAB639E743","B39AF3FA"
"Blackthorne - Fukushuu no Kuroki Toge (Japan)","","","Blackthorne - Fukushuu no Kuroki Toge (Japan).sfc","1048576","30729D81A5B1F83CE26631918062EB82","EDF476B3"
"BlaZeon (Japan) (En)","","","BlaZeon (Japan) (En).sfc","1048576","738BDA0D92DD3DCD6C4B0D65A957E01E","AD2EFFC3"
"BlaZeon - The Bio-Cyborg Challenge (USA)","","USA","BlaZeon - The Bio-Cyborg Challenge (USA).sfc","1048576","0FC1DD2C3AC2EC5BAED77B3A32590BA4","3B01D0A3"
"BlaZeon - The Bio-Cyborg Challenge (USA)","SNS-BL-USA","USA","BlaZeon - The Bio-Cyborg Challenge (USA).sfc","1048576","0FC1DD2C3AC2EC5BAED77B3A32590BA4","3B01D0A3"
"Blazing Skies (Europe)","SNSP-WG-SCN","Europe","Blazing Skies (Europe).sfc","524288","37A3400B6C9DDB34D8B47301817DE59E","BEB16E2D"
"Block Kuzushi (Japan)","","","Block Kuzushi (Japan).sfc","524288","0289033CB1A8A60BA12C3116E94C7728","5CCE2E55"
"Blue Crystalrod, The (Japan)","","Japan","Blue Crystalrod, The (Japan).sfc","2097152","A8FE07895A4D7651E99A39B9EB5A3539","EFC21F71"
"Blues Brothers, The (Europe)","SNSP-B6-NOE","Europe","Blues Brothers, The (Europe).sfc","524288","5818B4DDC461070DBD12207D95F341D5","4A62057D"
"Blues Brothers, The (Europe) (Beta)","","","Blues Brothers, The (Europe) (Beta).sfc","524288","ACB641AEECEA31942610C91E092BD63F","1351DA2A"
"Blues Brothers, The (Japan)","","","Blues Brothers, The (Japan).sfc","524288","31E4B7AE3C269859D93357CD241C0BD0","362620D2"
"Blues Brothers, The (USA)","SNS-B6-USA","USA","Blues Brothers, The (USA).sfc","524288","80EBA5229AD4118906FBE1404FDE5AF8","82B97464"
"Bobby's World (USA) (Proto)","","","Bobby's World (USA) (Proto).sfc","1048576","6452748E3042C9B7A4FF37DDE5E9E69B","18BBEE33"
"Bokujou Monogatari (Japan)","","","Bokujou Monogatari (Japan).sfc","2097152","E5F9703591FEE2644F32F61BC1663129","D10C3CFA"
"Bokujou Monogatari (Japan) (Rev 1)","","","Bokujou Monogatari (Japan) (Rev 1).sfc","2097152","C469E7A892C647A2F0284AE6863F6AF6","9485EC0F"
"Bomber Man B-Daman (Japan)","SHVC-AH9J-JPN","Japan","Bomber Man B-Daman (Japan).sfc","1048576","D66E6ECC1E56820F7BCB2AC68BB26C21","9FEA854D"
"Bombuzal (Japan)","","","Bombuzal (Japan).sfc","524288","29E628ECCED08D4269FCF44A4ABFD452","5D7B8BCB"
"Bonkers (USA)","","USA","Bonkers (USA).sfc","1048576","186D7D1585DC6A0E9AD96A5740A1A03A","597AA981"
"Bonkers (USA)","SNS-ABNE-USA","USA","Bonkers (USA).sfc","1048576","186D7D1585DC6A0E9AD96A5740A1A03A","597AA981"
"Bonkers - Hollywood Daisakusen! (Japan)","","","Bonkers - Hollywood Daisakusen! (Japan).sfc","1048576","783A0C32F9FA04218D2BB866F1D89352","9401D956"
"Boogerman - A Pick and Flick Adventure (Europe)","","","Boogerman - A Pick and Flick Adventure (Europe).sfc","3145728","8B37076E92B5C9F7A3055998C67B3807","4328BD1B"
"Boogerman - A Pick and Flick Adventure (USA)","","USA","Boogerman - A Pick and Flick Adventure (USA).sfc","3145728","148DBE529816BB0721190B1D4B7AF4F4","1899AAFF"
"Boogerman - A Pick and Flick Adventure (USA)","SNS-AB4E-USA","USA","Boogerman - A Pick and Flick Adventure (USA).sfc","3145728","148DBE529816BB0721190B1D4B7AF4F4","1899AAFF"
"Bounty Sword (Japan)","","Japan","Bounty Sword (Japan).sfc","3145728","A9AE20155CA47BCC7191B5956662A24E","F3DDF35F"
